Close,High,Low,Open,Volume
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
97720.40625,98110.96875,97630.2890625,98110.96875,495050752
97890.21875,98061.71875,97721.9453125,97772.078125,415698944
97866.46875,98002.796875,97834.8046875,97939.4765625,275742720
97778.703125,97986.0078125,97778.703125,97813.8359375,48570368
97853.828125,97864.59375,97640.9453125,97747.375,123760640
97907.4765625,98110.03125,97882.984375,97882.984375,139976704
97699.296875,97877.4453125,97661.3203125,97877.4453125,0
97188.6328125,97670.6875,97028.6953125,97670.6875,210788352
97217.328125,97240.5625,97061.921875,97149.3828125,464195584
97319.921875,97376.78125,97271.5078125,97317.5859375,139087872
97554.171875,97557.734375,97305.03125,97307.9453125,0
97664.4375,97765.4375,97561.359375,97561.359375,6979584
97679.9453125,97713.875,97527.8203125,97703.4609375,13099008
97455.515625,97694.8203125,97455.515625,97686.9140625,30613504
