Close,High,Low,Open,Volume
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
42138.578125,42163.53125,42028.5546875,42062.05859375,0
42148.93359375,42195.6328125,42090.1015625,42146.79296875,0
42119.79296875,42159.63671875,42104.5,42155.0859375,18596864
41981.29296875,42143.890625,41959.3984375,42126.125,0
42101.015625,42226.1796875,41988.02734375,41988.02734375,322717696
42102.6953125,42173.046875,42100.8828125,42100.8828125,82607104
42229.41796875,42229.41796875,42104.03515625,42105.69921875,0
42727.4609375,42727.4609375,42223.47265625,42223.47265625,898724864
42553.046875,42797.17578125,42478.16796875,42704.71484375,837014528
42409.19921875,42570.1484375,42329.4609375,42556.1796875,386885632
42388.0,42511.046875,42369.3671875,42410.43359375,71604224
42484.90234375,42606.16796875,42338.703125,42390.40625,23231488
42590.296875,42681.6640625,42442.91796875,42488.37890625,116336640
